S000028556  YIL134C-A
S000002362  YDL203C
S000001303  YIL041W
S000000656  YCR060W
S000000917  YER115C
S000001719  YKR011C
S000000865  YER063W
S000007360  YPR137C-B
S000000439  YBR235W
S000004974  YNL029C
S000003605  YJL069C
S000005286  YNR003C
S000005890  YOR363C
S000004120  YLR130C
S000004556  YML091C
S000004151  YLR161W
S000005783  YOR257W
S000005888  YOR361C
S000006617  tK(CUU)D2
S000005352  YNR069C
S000000097  YBL001C
S000001123  YHR081W
S000003669  YJL133W
S000003551  YJL014W
S000005407  YOL047C
S000002793  YDR385W
S000001578  YKL095W
S000004793  YMR181C
S000003720  YJL184W
S000006394  YPR190C
S000007525  YNR034W-A
S000004510  YML047C
S000002962  YFL002W-A
S000002510  YDR103W
S000005677  YOR151C
S000002803  YDR395W
S000119075  snR86
S000003444  YGR212W
S000006493  snR4
S000004676  YMR072W
S000002589  YDR181C
S000004564  YML098W
S000005026  YNL082W
S000001046  YHR004C
S000005763  YOR237W
S000002175  YDL017W
S000000129  YBL033C
S000001532  YKL049C
S000005881  YOR354C
S000005369  YOL009C
S000005272  YNL328C
S000001895  YFL001W
S000003066  YGL098W
S000000233  YBR029C
S000007262  Q0055
S000006618  tK(CUU)E1
S000001534  YKL051W
S000002306  YDL147W
S000000564  YCL059C
S000000662  YCR066W
S000006078  YPL157W
S000005673  YOR147W
S000004542  YML077W
S000000094  YAR071W
S000002846  YDR438W
S000004050  YLR060W
S000000112  YBL016W
S000003043  YGL075C
S000004253  YLR263W
S000003276  YGR044C
S000001848  YFL046W
S000002681  YDR273W
S000113563  YKL065W-A
S000001056  YHR014W
S000005256  YNL312W
S000005959  YPL038W
S000002509  YDR102C
S000002467  YDR060W
S000001239  YHR196W
S000001774  YKR066C
S000002210  YDL052C
S000004360  YLR368W
S000004382  YLR390W
S000005823  YOR297C
S000002645  YDR237W
S000003170  YGL202W
S000006097  YPL176C
S000003995  YLR005W
S000003508  YGR276C
S000005658  YOR132W
S000001471  YIR032C
S000002915  YDR507C
S000005077  YNL133C
S000003627  YJL091C
S000028591  YPR169W-A
S000006567  tF(GAA)H2
S000000778  YEL052W
S000004406  YLR414C
S000006402  YPR198W
S000000449  YBR245C
S000002940  YDR532C
S000002792  YDR384C
S000007352  YOR142W-B
S000005790  YOR264W
S000002955  YEL076C-A
S000000313  YBR109C
S000029726  YGR161W-C
S000001576  YKL093W
S000005876  YOR349W
S000002986  YGL018C
S000003984  YLL061W
S000001198  YHR155W
S000004682  YMR077C
S000004239  YLR249W
S000004615  YMR013C
S000003576  YJL039C
S000003179  YGL211W
S000005887  YOR360C
S000006692  tQ(UUG)C
S000001180  YHR138C
S000005815  YOR289W
S000002906  YDR498C
S000001390  YIL128W
S000004002  YLR012C
S000000393  YBR189W
S000005894  YOR367W
S000028581  YOR011W-A
S000028836  YIL046W-A
S000001877  YFL017C
S000003125  YGL157W
S000002165  YDL007W
S000003906  YJR145C
S000003023  YGL055W
S000005745  YOR219C
S000000780  YEL054C
S000003999  YLR009W
S000001298  YIL036W
S000003269  YGR037C
S000003797  YJR036C
S000003138  YGL170C
S000000456  YBR252W
S000000970  YER168C
S000004613  YMR011W
S000005098  YNL154C
S000003713  YJL177W
S000003675  YJL139C
S000001626  YKL143W
S000001170  YHR128W
S000001572  YKL089W
S000005777  YOR251C
S000002598  YDR190C
S000006132  YPL211W
S000004453  YLR461W
S000003867  YJR106W
S000001767  YKR059W
S000003366  YGR134W
S000000866  YER064C
S000003593  YJL057C
S000003585  YJL049W
S000001905  YFR009W
S000004020  YLR030W
S000004428  YLR436C
S000002490  YDR083W
S000004079  YLR089C
S000004446  YLR454W
S000001634  YKL151C
S000000741  YEL015W
S000005463  YOL103W
S000002286  YDL128W
S000005144  YNL200C
S000003998  YLR008C
S000005079  YNL135C
S000001910  YFR014C
S000002637  YDR229W
S000003884  YJR123W
S000005300  YNR017W
S000002549  YDR142C
S000004588  YML119W
S000005091  YNL147W
S000005877  YOR350C
S000000594  YCR001W
S000005217  YNL273W
S000002716  YDR308C
S000006715  tR(UCU)J2
S000004460  YML001W
S000006287  YPR083W
S000006694  tQ(UUG)D2
S000001662  YKL179C
S000002299  YDL140C
S000005099  YNL155W
S000005892  YOR365C
S000003549  YJL012C
S000002937  YDR529C
S000002440  YDR033W
S000000471  YBR267W
S000003255  YGR023W
S000006545  tD(GUC)O
S000002780  YDR372C
S000006779  tY(GUA)F1
S000006751  tT(UGU)H
S000005373  YOL013C
S000004427  YLR435W
S000004738  YMR131C
S000005503  YOL143C
S000004846  YMR233W
S000005884  YOR357C
S000003500  YGR268C
S000006231  YPR027C
S000003817  YJR056C
